"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Tampa","Tampa","FL","Tampa, FL","""Tampa-St. Petersburg-Clearwater, FL""",45,7.20882765658885,86.78,,,169900,1.55409444112373,12.3677248677249,0.0513301942319011,,0.154695744844568,0.0632499914286416,82
"City","Anaheim","Anaheim","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",46,7.99591784666412,93.22,2.0298,0.6247,550700,0.492700729927007,7.60062524423603,0.0199636825857998,,0.0535638762620569,0.0280524533589664,69
"City","Santa Ana","Santa Ana","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",47,5.36165327210103,90.32,3.4839,0.9167,479900,0.355499790882476,7.12053571428571,0.0195853302771412,,0.0791185320187461,0.0413070802124358,70
"City","Aurora","Aurora","CO","Denver, CO","""Denver-Aurora-Lakewood, CO""",48,9.68746013522133,98.78,4.4919,0.1734,269900,1.12401648557512,12.1312837557125,0.0434716561689514,,0.053374877617677,0.00809352191200215,56
"City","Saint Louis","Saint Louis","MO","St. Louis, MO","""St. Louis, MO-IL""",49,6.10792192881745,,,,112500,0.987432675044883,9.32944606413994,0.0464888888888888,,0.224988723304697,0.0360263187745942,79
"City","Pittsburgh","Pittsburgh","PA","Pittsburgh, PA","""Pittsburgh, PA""",50,7.97550707998469,,,,120200,0.250208507089241,14.9139579349904,0.0613643926788685,,0.0982958676823425,0.0201519819899657,84
"City","Riverside","Riverside","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",51,6.9945146064549,92.64,7.2,1.2258,336300,0.238450074515648,8.23945928548439,0.0524264049955396,,0.10464891416391,0.0346315723459871,76
"City","Marietta","Marietta","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",52,6.3681592039801,86.36,,,249600,0.56406124093473,8.90052356020942,0.0527964743589744,,0.0919438357947442,0.0190514196210354,66
"City","Anchorage","Anchorage","AK","Anchorage, AK","""Anchorage, AK""",53,3.41497640005103,83.46,,,291400,-0.137080191912269,-0.307902839548409,0.0438743994509265,,0.153931344415237,0.00800413737620052,95
"City","Bakersfield","Bakersfield","CA","Bakersfield, CA","""Bakersfield, CA""",54,1.87013649700217,79.59,6.5847,2.5094,212700,0.188412623645784,1.67304015296367,0.0258298072402445,,0.169269411978421,0.0337287015200748,78.5
"City","Saint Paul","Saint Paul","MN","Minneapolis-St Paul, MN","""Minneapolis-St. Paul-Bloomington, MN-WI""",55,7.50350810052303,87.5,9.4906,0.09,185700,0.86909288430201,10.9318996415771,0.0493968766828217,,0.117453991024223,0.0238904325241449,85
"City","Toledo","Toledo","OH","Toledo, OH","""Toledo, OH""",56,1.18510014032402,66.67,6.7712,,60100,0.670016750418761,4.52173913043478,0.0211647254575706,,0.279907114371508,0.0518120250522184,92
"City","Silver Spring","Silver Spring","MD","Washington, DC","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",57,2.4990432453119,,,,386600,0.546163849154746,3.61833288662557,0.0243016037247801,,0.132272041036809,0.0408435840859596,76
"City","Lexington","Lexington","KY","Lexington, KY","""Lexington-Fayette, KY""",58,7.45758387549432,89,0.1442,,160200,0.628140703517588,6.94259012016021,0.0391385767790262,,0.0845745291501613,0.0141834688208591,68
"City","Newark","Newark","NJ","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",59,7.96785304247991,,,,240800,2.42450021267546,19.8009950248756,0.0638039867109634,,0.359015941554649,0.194960179720847,146
"City","Tallahassee","Tallahassee","FL","Tallahassee, FL","""Tallahassee, FL""",60,2.15078453884424,69.05,,,163800,0.49079754601227,5.60928433268859,0.0323015873015873,,0.152330776952736,0.0466189297842762,90
"City","Stockton","Stockton","CA","Stockton, CA","""Stockton-Lodi, CA""",61,5.31445337415487,86.6,9.0936,1.1722,241100,0.752193898871709,9.99087591240876,0.0639361260887599,,0.151381011531329,0.033540723432586,65
